company,ticker,true_weights,top_10_weights
DBS Group Holdings Ltd,D05.SI,0.1906,0.2658
Oversea-Chinese Banking Corporation Limited,O39.SI,0.1321,0.1842
United Overseas Bank Ltd. (Singapore),U11.SI,0.1264,0.1763
Singapore Telecommunications Limited,Z74.SI,0.0618,0.0862
Jardine Matheson Holdings Limited,J36.SI,0.0492,0.0686
CapitaLand Integrated Commercial Trust,C38U.SI,0.0344,0.048
CapitaLand Investment Limited,9CI.SI,0.032,0.0446
Ascendas Real Estate Investment Trust,A17U.SI,0.0307,0.0428
Wilmar International Limited,F34.SI,0.0303,0.0423
Keppel Corporation Limited,BN4.SI,0.0296,0.0413
