company,ticker,true_weights,top_10_weights
DBS Group Holdings Ltd,D05.SI,0.1914,0.2658
Oversea-Chinese Banking Corporation Limited,O39.SI,0.1326,0.1842
United Overseas Bank Ltd. (Singapore),U11.SI,0.1269,0.1763
Singapore Telecommunications Limited,Z74.SI,0.0621,0.0863
Jardine Matheson Holdings Limited,J36.SI,0.0494,0.0686
CapitaLand Integrated Commercial Trust,C38U.SI,0.0345,0.0479
CapitaLand Investment Limited,9CI.SI,0.0322,0.0447
Ascendas Real Estate Investment Trust,A17U.SI,0.0308,0.0428
Wilmar International Limited,F34.SI,0.0304,0.0422
Keppel Corporation Limited,BN4.SI,0.0297,0.0413
