title,datetime,link,desc,company,ticker
Nickel Tycoon Reaches Deal With Banks to Avoid Margin Calls,2022-03-12 14:46:29.032253,https://www.bloomberg.com/news/articles/2022-03-14/nickel-s-big-short-reaches-deal-to-avoid-further-margin-calls,"... Standard Chartered Bank Plc, CCB International Holdings, ICBC Standard 
Bank Plc, United Overseas Bank Ltd., DBS Group Holdings Ltd., BOC 
International...",DBS Group Holdings Ltd,D05.SI
Issue of USD 1.5 billion Fixed Rate Covered Bonds due 2027 under DBS Bank's USD 10 billion Global Covered Bond Programme,2022-03-12 14:46:29.049737,https://www.marketscreener.com/quote/stock/DBS-GROUP-HOLDINGS-LTD-6491408/news/Issue-of-USD-1-5-billion-Fixed-Rate-Covered-Bonds-due-2027-under-DBS-Bank-s-USD-10-billion-Global-Co-39752700/,"Bayfront Covered Bonds Pte. Ltd. ('BCB') (herein known as the 'Covered Bond 
Guarantee'). · DBS Bank Ltd. and other assets of BCB.",DBS Group Holdings Ltd,D05.SI
Investor Group With $4.7 Trillion Says Asian Banks Are Failing on Climate Change,2022-03-22 14:46:29.064762,https://www.bloombergquint.com/business/asian-banks-are-failing-on-climate-change-investor-group-says,"The investment group assessed 32 banks in nine Asian markets in terms of 
... DBS Group Holdings Ltd., Singapore's biggest bank, had the top grade at 
CC,...",DBS Group Holdings Ltd,D05.SI
Singapore Dollar Bulls Forecast Gains as MAS Seen Hawkish,2022-04-08 14:46:29.090549,https://www.bloomberg.com/news/articles/2022-04-08/singapore-dollar-bulls-forecast-gains-as-mas-seen-hawkish?utm_source=google&utm_medium=bd&cmpId=google,"DBS Group Holdings Ltd. forecasts the central bank will steepen the slope 
of the band. “We expect the MAS to respond to upside inflation risks by 
opening...",DBS Group Holdings Ltd,D05.SI
"Thailand Faces Current Account Blowout on Oil, Tourism Risks",2022-03-22 14:46:29.119008,https://www.bloomberg.com/news/articles/2022-03-22/thailand-faces-current-account-blowout-on-oil-tourism-risks,"Nomura Holdings Inc., DBS Bank Ltd. and Maybank Investment Banking Group 
too expect Southeast Asia's second-largest economy to post a second 
straight year...",DBS Group Holdings Ltd,D05.SI
HSBC to sell off Greek branches in £4.5bn push further into Asia,2022-03-12 14:46:29.146221,https://www.cityam.com/hsbc-to-sell-off-greek-branches-in-4-5bn-push-further-into-asia/,"and DBS Group Holdings Ltd,” wrote S&P Global Analysts. “The bank's pivot 
strategy may help mitigate the drag on its revenue from lower interest 
rates and build...",DBS Group Holdings Ltd,D05.SI
DBS Bank Ltd. Global Covered Bond Programme -- Moody's assigns definitive Aaa rating to DBS Bank's Series 11 mortgage covered bonds,2022-03-15 14:46:29.167703,https://finance.yahoo.com/news/dbs-bank-ltd-global-covered-060105344.html,"DBS Bank Ltd. Global Covered Bond Programme -- Moody's assigns definitive 
Aaa ... Group Japan G.K., which is wholly-owned by Moody's Overseas 
Holdings Inc.,...",DBS Group Holdings Ltd,D05.SI
DBS Bank Ltd. Global Covered Bond Programme -- Moody's assigns definitive Aaa rating to DBS Bank's Series 11 mortgage covered bonds,2022-03-22 14:46:29.189215,https://finance.yahoo.com/news/dbs-bank-ltd-global-covered-111306060.html,"DBS Bank Ltd. Global Covered Bond Programme -- Moody's assigns definitive 
Aaa rating to DBS Bank's Series 11 mortgage covered bonds. Mon,...",DBS Group Holdings Ltd,D05.SI
DBS : Hong Kong and CR Micro set green benchmark in China's microelectronics industry with ESG-linked loan | 繁體,2022-04-12 12:46:29.191712,https://www.marketscreener.com/quote/stock/DBS-GROUP-HOLDINGS-LTD-6491408/news/DBS-Hong-Kong-and-CR-Micro-set-green-benchmark-in-China-s-microelectronics-industry-with-ESG-linke-40027335/,"DBS Bank Ltd., Hong Kong Branch (""DBS Hong Kong"") recently entered into its 
... DBS Hong Kong and China Resources Group, the holding company of CR 
Micro.",DBS Group Holdings Ltd,D05.SI
China Inflation: Factory Prices Rise Faster as Oil Surges,2022-04-11 14:46:29.206863,https://www.bloomberg.com/news/articles/2022-04-11/china-factory-prices-rise-faster-than-expected-as-oil-surges,"... a senior economist at DBS Group Holdings Ltd. He added, though, ... for 
the People's Bank of China now -- the central bank's focus is on growth,...",DBS Group Holdings Ltd,D05.SI
DBS' Q4 profit up 37% to $1.39 billion; more gains expected ...,2022-02-12 00:00:00,https://www.straitstimes.com/business/banking/dbs-q4-profit-up-37-to-139b-full-year-earnings-hit-record-68b,"SINGAPORE - DBS Group Holdings posted on Monday (Feb 14) a 
better-than-expected increase in fourth-quarter earnings on the back of 
higher loan growth and...",DBS Group Holdings Ltd,D05.SI
DBS Group Holdings Ltd (DBSDF) CEO Piyush Gupta on Q4 2021 Results - Earnings Call Transcript,2022-02-12 00:00:00,https://seekingalpha.com/article/4486809-dbs-group-holdings-ltd-dbsdf-ceo-piyush-gupta-on-q4-2021-results-earnings-call-transcript,"DBS Group Holdings Ltd (OTCPK:DBSDF) Q4 2021 Earnings Conference Call 
February 13, 2022 10:30 PM ET. Company Participants. Edna Koh - Head-Group 
Strategic...",DBS Group Holdings Ltd,D05.SI
"Singapore bank DBS profit rebounds, seen gaining as rates outlook improves",2022-02-12 00:00:00,https://www.cnbc.com/2022/02/14/singapore-bank-dbs-profit-rebounds-seen-gaining-as-rates-outlook-improves.html,"A customer uses an automated teller machine (ATM) at a DBS Group Holdings 
Ltd. bank branch in Singapore, on Wednesday, Feb. 17, 2021. Lauryn Ishak | 
Bloomberg |...",DBS Group Holdings Ltd,D05.SI
44%of this DBS Group Holdings Ltd (SGX:D05) insider's holdings were sold in the last year,2022-03-12 14:46:36.921740,https://simplywall.st/stocks/sg/banks/sgx-d05/dbs-group-holdings-shares/news/44of-this-dbs-group-holdings-ltd-sgxd05-insiders-holdings-we,"Insiders were net sellers of DBS Group Holdings Ltd's (SGX:D05 ) stock 
during the past year. That is, insiders sold more stock than they bought.",DBS Group Holdings Ltd,D05.SI
Singapore's DBS expects asset quality to stay resilient after ...,2022-02-12 00:00:00,https://www.spglobal.com/marketintelligence/en/news-insights/latest-news-headlines/singapore-s-dbs-expects-asset-quality-to-stay-resilient-after-record-profit-68879569,"A DBS Bank building in Singapore. Source: DBS Bank. DBS Group Holdings Ltd. 
expects its asset quality to remain strong with stable provisions against 
potential...",DBS Group Holdings Ltd,D05.SI
